request_number,timestamp,latency_ms,success,prediction,error
1,2025-11-11T10:05:45.938836,55.87,True,FAKE,
2,2025-11-11T10:05:45.990407,51.43,True,FAKE,
3,2025-11-11T10:05:46.055221,64.72,True,FAKE,
4,2025-11-11T10:05:46.105592,50.28,True,FAKE,
5,2025-11-11T10:05:46.162138,56.48,True,FAKE,
6,2025-11-11T10:05:46.209713,47.51,True,FAKE,
7,2025-11-11T10:05:46.265340,55.56,True,FAKE,
8,2025-11-11T10:05:46.311864,46.45,True,FAKE,
9,2025-11-11T10:05:46.363117,51.20,True,FAKE,
10,2025-11-11T10:05:46.408147,44.97,True,FAKE,
11,2025-11-11T10:05:46.457929,49.71,True,FAKE,
12,2025-11-11T10:05:46.502114,44.11,True,FAKE,
13,2025-11-11T10:05:46.552865,50.66,True,FAKE,
14,2025-11-11T10:05:46.603785,50.72,True,FAKE,
15,2025-11-11T10:05:46.655006,51.08,True,FAKE,
16,2025-11-11T10:05:46.699789,44.72,True,FAKE,
17,2025-11-11T10:05:46.747255,47.39,True,FAKE,
18,2025-11-11T10:05:46.803175,55.85,True,FAKE,
19,2025-11-11T10:05:46.852274,48.98,True,FAKE,
20,2025-11-11T10:05:46.899886,47.51,True,FAKE,
21,2025-11-11T10:05:46.943585,43.55,True,FAKE,
22,2025-11-11T10:05:46.989396,45.72,True,FAKE,
23,2025-11-11T10:05:47.037638,48.12,True,FAKE,
24,2025-11-11T10:05:47.094755,56.89,True,FAKE,
25,2025-11-11T10:05:47.147826,52.83,True,FAKE,
26,2025-11-11T10:05:47.197980,49.99,True,FAKE,
27,2025-11-11T10:05:47.249758,51.63,True,FAKE,
28,2025-11-11T10:05:47.299916,50.07,True,FAKE,
29,2025-11-11T10:05:47.350166,50.16,True,FAKE,
30,2025-11-11T10:05:47.392219,41.90,True,FAKE,
31,2025-11-11T10:05:47.439512,47.17,True,FAKE,
32,2025-11-11T10:05:47.495521,55.92,True,FAKE,
33,2025-11-11T10:05:47.538682,43.08,True,FAKE,
34,2025-11-11T10:05:47.587845,49.07,True,FAKE,
35,2025-11-11T10:05:47.637214,49.28,True,FAKE,
36,2025-11-11T10:05:47.685567,48.24,True,FAKE,
37,2025-11-11T10:05:47.735560,49.85,True,FAKE,
38,2025-11-11T10:05:47.785934,50.24,True,FAKE,
39,2025-11-11T10:05:47.837908,51.83,True,FAKE,
40,2025-11-11T10:05:47.887729,49.68,True,FAKE,
41,2025-11-11T10:05:47.937776,49.91,True,FAKE,
42,2025-11-11T10:05:47.986054,48.13,True,FAKE,
43,2025-11-11T10:05:48.034030,47.85,True,FAKE,
44,2025-11-11T10:05:48.083779,49.57,True,FAKE,
45,2025-11-11T10:05:48.133960,49.92,True,FAKE,
46,2025-11-11T10:05:48.182149,47.99,True,FAKE,
47,2025-11-11T10:05:48.229427,47.12,True,FAKE,
48,2025-11-11T10:05:48.279724,50.18,True,FAKE,
49,2025-11-11T10:05:48.327606,47.77,True,FAKE,
50,2025-11-11T10:05:48.378058,50.31,True,FAKE,
51,2025-11-11T10:05:48.428450,50.23,True,FAKE,
52,2025-11-11T10:05:48.475801,47.18,True,FAKE,
53,2025-11-11T10:05:48.525699,49.74,True,FAKE,
54,2025-11-11T10:05:48.579360,53.45,True,FAKE,
55,2025-11-11T10:05:48.630346,50.80,True,FAKE,
56,2025-11-11T10:05:48.690164,59.66,True,FAKE,
57,2025-11-11T10:05:48.739336,49.08,True,FAKE,
58,2025-11-11T10:05:48.787946,48.54,True,FAKE,
59,2025-11-11T10:05:48.835629,47.61,True,FAKE,
60,2025-11-11T10:05:48.885235,49.52,True,FAKE,
61,2025-11-11T10:05:48.937563,52.17,True,FAKE,
62,2025-11-11T10:05:48.985703,48.05,True,FAKE,
63,2025-11-11T10:05:49.034252,48.48,True,FAKE,
64,2025-11-11T10:05:49.081657,47.33,True,FAKE,
65,2025-11-11T10:05:49.129164,47.45,True,FAKE,
66,2025-11-11T10:05:49.177639,48.40,True,FAKE,
67,2025-11-11T10:05:49.225728,48.00,True,FAKE,
68,2025-11-11T10:05:49.273552,47.73,True,FAKE,
69,2025-11-11T10:05:49.328537,54.91,True,FAKE,
70,2025-11-11T10:05:49.381673,53.08,True,FAKE,
71,2025-11-11T10:05:49.427306,45.56,True,FAKE,
72,2025-11-11T10:05:49.473597,46.22,True,FAKE,
73,2025-11-11T10:05:49.526584,52.71,True,FAKE,
