request_number,timestamp,latency_ms,success,prediction,error
1,2025-11-11T10:05:30.739550,62.88,True,FAKE,
2,2025-11-11T10:05:30.790318,50.69,True,FAKE,
3,2025-11-11T10:05:30.834373,43.99,True,FAKE,
4,2025-11-11T10:05:30.879821,45.36,True,FAKE,
5,2025-11-11T10:05:30.930213,50.24,True,FAKE,
6,2025-11-11T10:05:30.977781,47.32,True,FAKE,
7,2025-11-11T10:05:31.028353,50.37,True,FAKE,
8,2025-11-11T10:05:31.076383,47.78,True,FAKE,
9,2025-11-11T10:05:31.132987,56.34,True,FAKE,
10,2025-11-11T10:05:31.180327,47.02,True,FAKE,
11,2025-11-11T10:05:31.230264,49.70,True,FAKE,
12,2025-11-11T10:05:31.280338,49.90,True,FAKE,
13,2025-11-11T10:05:31.324390,43.85,True,FAKE,
14,2025-11-11T10:05:31.374220,49.59,True,FAKE,
15,2025-11-11T10:05:31.416767,42.30,True,FAKE,
16,2025-11-11T10:05:31.470457,53.43,True,FAKE,
17,2025-11-11T10:05:31.520146,49.50,True,FAKE,
18,2025-11-11T10:05:31.571213,50.83,True,FAKE,
19,2025-11-11T10:05:31.620329,48.93,True,FAKE,
20,2025-11-11T10:05:31.670546,50.02,True,FAKE,
21,2025-11-11T10:05:31.722594,51.85,True,FAKE,
22,2025-11-11T10:05:31.770290,47.53,True,FAKE,
23,2025-11-11T10:05:31.817868,47.39,True,FAKE,
24,2025-11-11T10:05:31.868508,50.53,True,FAKE,
25,2025-11-11T10:05:31.922945,54.15,True,FAKE,
26,2025-11-11T10:05:31.972471,49.38,True,FAKE,
27,2025-11-11T10:05:32.022679,50.11,True,FAKE,
28,2025-11-11T10:05:32.075425,52.62,True,FAKE,
29,2025-11-11T10:05:32.125505,49.90,True,FAKE,
30,2025-11-11T10:05:32.172450,46.75,True,FAKE,
31,2025-11-11T10:05:32.220062,47.32,True,FAKE,
32,2025-11-11T10:05:32.269840,49.60,True,FAKE,
33,2025-11-11T10:05:32.322300,52.29,True,FAKE,
34,2025-11-11T10:05:32.374532,52.06,True,FAKE,
35,2025-11-11T10:05:32.424120,49.39,True,FAKE,
36,2025-11-11T10:05:32.480212,55.88,True,FAKE,
37,2025-11-11T10:05:32.536281,55.89,True,FAKE,
38,2025-11-11T10:05:32.584454,47.98,True,FAKE,
39,2025-11-11T10:05:32.633049,48.34,True,FAKE,
